Final_Score,Responses,OrgLowest,OrgMiddle,OrgHighest
8.1,570,7,8.2,9
8.9,319,5.5,9,9.8
9.4,541,5.5,9,9.8
8.3,1193,5.5,9,9.8
9.4,232,5.5,9,9.8
8.7,870,7,8.2,9
9.1,290,5.5,9,9.8
8.9,486,5.5,9,9.8
8.8,348,8.5,9,9.5
8.8,289,8.5,9,9.5
7.8,897,7.4,8,9.1
8.8,480,5.5,9,9.8
9.3,571,5.5,9,9.8
8.1,511,5.5,9,9.8
9.3,186,5.5,9,9.8
9.3,268,5.5,9,9.8
7.8,783,7,8.2,9
8.2,217,5.5,9,9.8
9.2,214,5.5,9,9.8
9.5,496,5.5,9,9.8
8.7,319,5.5,9,9.8
8.8,317,5.5,9,9.8
7.9,833,7,8.2,9
8.8,163,5.5,9,9.8
9.1,368,5.5,9,9.8
8.3,624,5.5,9,9.8
9,736,7,8.2,9
9.5,459,8.5,9,9.5
8.4,728,7,8.2,9
9.2,97,5.5,9,9.8
8.2,1071,7,8.2,9
7.5,734,7.4,8,9.1
7.8,842,7,8.2,9
8.4,421,5.5,9,9.8
9.2,1618,8.5,9,9.5
8.3,922,8.5,9,9.5
7.9,1675,7,8.2,9
8.9,240,5.5,9,9.8
8.2,1154,7,8.2,9
8.8,774,7,8.2,9
8,1266,7.4,8,9.1
8.4,801,7,8.2,9
8.6,632,7,8.2,9
8,2285,7,8.2,9
8.3,825,7,8.2,9
7,259,5.5,9,9.8
8.4,622,7,8.2,9
8.9,74,8.5,9,9.5
8.4,1052,7,8.2,9
8.5,183,5.5,9,9.8
9,145,8.5,9,9.5
9,201,8.5,9,9.5
7.9,647,7,8.2,9
8.8,1121,7,8.2,9
8.1,246,7,8.2,9
8.6,133,8.5,9,9.5
7.5,948,7,8.2,9
7.7,1114,7,8.2,9
7.9,245,7,8.2,9
7.9,665,7.4,8,9.1
9.4,394,8.5,9,9.5
9.2,116,5.5,9,9.8
9.3,144,5.5,9,9.8
8.5,318,5.5,9,9.8
8.5,610,7,8.2,9
9.3,146,8.5,9,9.5
8,2361,7,8.2,9
8.7,197,8.5,9,9.5
9.1,437,8.5,9,9.5
8.6,757,7,8.2,9
7.8,239,7.4,8,9.1
9,355,5.5,9,9.8
8.1,480,5.5,9,9.8
8.4,801,7,8.2,9
8.2,367,7,8.2,9
9,1080,7,8.2,9
8.1,1221,7,8.2,9
9.2,479,5.5,9,9.8
8.6,300,5.5,9,9.8
8.1,979,7,8.2,9
8.2,1632,7,8.2,9
8.4,1456,7,8.2,9
8.6,778,8.5,9,9.5
8.1,1307,7,8.2,9
7.8,1096,7,8.2,9
8.2,2038,7,8.2,9
7.7,286,5.5,9,9.8
8.5,773,7,8.2,9
8.2,629,7,8.2,9
8.7,829,5.5,9,9.8
9.2,248,8.5,9,9.5
8,697,7,8.2,9
7.5,511,7,8.2,9
8.5,996,7,8.2,9
8.2,2194,7,8.2,9
9.1,687,8.5,9,9.5
8.6,1700,7,8.2,9
8.9,287,5.5,9,9.8
8.4,88,8.5,9,9.5
8.6,695,7,8.2,9
9.1,486,8.5,9,9.5
7.9,1343,7,8.2,9
8.3,223,5.5,9,9.8
9.3,691,8.5,9,9.5
9,943,7,8.2,9
8,1237,7,8.2,9
9,284,5.5,9,9.8
9.1,258,8.5,9,9.5
9.1,327,5.5,9,9.8
8.5,541,5.5,9,9.8
7.8,727,7,8.2,9
9.1,206,5.5,9,9.8
9.2,236,8.5,9,9.5
9.5,210,5.5,9,9.8
8.2,424,7,8.2,9
8.4,1109,7,8.2,9
8.8,990,7,8.2,9
8.9,190,5.5,9,9.8
8.3,709,7,8.2,9
8.2,337,7,8.2,9
8.8,2013,7,8.2,9
8.8,252,5.5,9,9.8
9,207,5.5,9,9.8
8.7,147,5.5,9,9.8
8.6,843,7,8.2,9
8.7,189,5.5,9,9.8
7.2,91,5.5,9,9.8
7.8,785,7,8.2,9
9,1024,8.5,9,9.5
8,387,7,8.2,9
8.1,2540,7,8.2,9
9.6,307,5.5,9,9.8
9.4,420,5.5,9,9.8
8.1,1778,7,8.2,9
8.8,225,5.5,9,9.8
9.2,152,5.5,9,9.8
9.2,144,5.5,9,9.8
8,332,7,8.2,9
8.5,652,7,8.2,9
8.4,480,5.5,9,9.8
7.6,1067,7,8.2,9
8.3,650,7,8.2,9
8.5,953,7,8.2,9
8.9,159,5.5,9,9.8
8.1,747,7,8.2,9
8,604,7,8.2,9
9.6,117,5.5,9,9.8
8.2,518,7,8.2,9
9.2,235,5.5,9,9.8
7.6,624,7.4,8,9.1
8.6,113,5.5,9,9.8
7.7,748,7,8.2,9
9.2,349,8.5,9,9.5
8,1906,7,8.2,9
8.2,1180,7,8.2,9
9,100,8.5,9,9.5
9.1,175,8.5,9,9.5
8.3,696,7,8.2,9
7.7,371,7.4,8,9.1
8.1,1098,7,8.2,9
8.4,1088,7,8.2,9
9.2,485,5.5,9,9.8
9.5,137,5.5,9,9.8
8.5,638,7,8.2,9
8.8,103,5.5,9,9.8
8.1,292,7.4,8,9.1
8.4,1699,7,8.2,9
8.6,621,7,8.2,9
8.9,288,8.5,9,9.5
8.3,313,5.5,9,9.8
8.3,1504,7,8.2,9
9.1,421,8.5,9,9.5
8,2212,7,8.2,9
9.3,755,5.5,9,9.8
8.7,174,5.5,9,9.8
8.9,628,8.5,9,9.5
8.1,1146,7,8.2,9
9.2,56,5.5,9,9.8
8.9,396,8.5,9,9.5
8.6,839,7,8.2,9
8.6,436,8.5,9,9.5
8.5,899,7,8.2,9
7.9,242,5.5,9,9.8
9.1,254,5.5,9,9.8
8.9,311,5.5,9,9.8
8.8,137,5.5,9,9.8
9,566,5.5,9,9.8
9.5,85,5.5,9,9.8
8.1,806,5.5,9,9.8
8.8,157,5.5,9,9.8
8.6,462,5.5,9,9.8
8.7,187,5.5,9,9.8
8.4,305,7,8.2,9
9.1,408,5.5,9,9.8
9.3,330,5.5,9,9.8
9.2,307,5.5,9,9.8
9,113,5.5,9,9.8
8.9,574,5.5,9,9.8
8.6,697,7,8.2,9
8.6,371,7,8.2,9
9,778,8.5,9,9.5
8.9,463,5.5,9,9.8
8.6,871,5.5,9,9.8
5.5,177,5.5,9,9.8
9.1,43,8.5,9,9.5
7.8,556,7,8.2,9
9.3,196,8.5,9,9.5
7.4,310,7,8.2,9
7.7,589,7.4,8,9.1
8.7,295,5.5,9,9.8
8,650,7,8.2,9
7.7,505,7,8.2,9
9,518,8.5,9,9.5
8.3,1039,7,8.2,9
8.8,463,5.5,9,9.8
9,1660,5.5,9,9.8
9.3,347,5.5,9,9.8
8.4,482,8.5,9,9.5
7.9,782,7,8.2,9
9.3,309,8.5,9,9.5
8.2,625,7,8.2,9
9,998,8.5,9,9.5
9.3,1246,5.5,9,9.8
9.2,451,5.5,9,9.8
8.3,1098,7,8.2,9
9,200,8.5,9,9.5
8.1,784,7,8.2,9
9.3,456,5.5,9,9.8
9,331,8.5,9,9.5
8.3,897,7,8.2,9
8.9,951,8.5,9,9.5
8.9,219,8.5,9,9.5
8.9,259,8.5,9,9.5
8.8,206,8.5,9,9.5
7.6,892,5.5,9,9.8
8.6,70,5.5,9,9.8
7.8,1100,7,8.2,9
9,436,8.5,9,9.5
8.9,780,7,8.2,9
9.1,687,8.5,9,9.5
9,639,5.5,9,9.8
,-,8.5,9,9.5
9.1,335,5.5,9,9.8
8.7,285,5.5,9,9.8
9,460,8.5,9,9.5
9.2,157,5.5,9,9.8
8.4,457,5.5,9,9.8
8.4,237,7,8.2,9
8.2,702,7,8.2,9
9.1,429,8.5,9,9.5
7.9,1244,7,8.2,9
7.5,142,5.5,9,9.8
7.8,144,5.5,9,9.8
9.2,371,5.5,9,9.8
8.9,518,7.4,8,9.1
8.7,464,5.5,9,9.8
7.4,721,7.4,8,9.1
8.4,1237,7.4,8,9.1
8.4,422,5.5,9,9.8
9.1,114,5.5,9,9.8
7.9,553,7,8.2,9
8.6,85,5.5,9,9.8
9,261,5.5,9,9.8
8.9,194,5.5,9,9.8
8.9,380,8.5,9,9.5
